id,ecms,ebeam,tmin,tmax,emin,emax
0,0.0170891,0.28575,78.5718,101.428,0.00573235,0.0127405
1,0.0172293,0.29046,78.1147,101.885,0.00568644,0.0130554
2,0.0171827,0.28889,78.2662,101.734,0.00570162,0.0129501
3,0.017136,0.28732,78.4185,101.581,0.00571693,0.0128452
4,0.0173685,0.29517,77.6657,102.334,0.00564162,0.0133728
5,0.0173222,0.2936,77.8145,102.185,0.00565644,0.0132667
6,0.0172758,0.29203,77.9642,102.036,0.00567138,0.0131609
7,0.0170514,0.28449,78.6955,101.305,0.00574483,0.0126567
8,0.0170042,0.28292,78.8504,101.15,0.00576048,0.0125526
9,0.0169473,0.28103,79.0382,100.962,0.0057795,0.0124276
10,0.0168999,0.27946,79.1952,100.805,0.00579544,0.0123241
11,0.0168524,0.27789,79.3532,100.647,0.00581151,0.0122208
12,0.0168047,0.27632,79.5122,100.488,0.00582772,0.0121179
13,0.0167713,0.27522,79.6242,100.376,0.00583916,0.012046
14,0.0167233,0.27365,79.7848,100.215,0.0058556,0.0119435
15,0.0166753,0.27208,79.9465,100.053,0.00587218,0.0118414
16,0.0166271,0.27051,80.1092,99.8908,0.0058889,0.0117396
17,0.0165788,0.26894,80.2729,99.7271,0.00590576,0.011638
18,0.0165303,0.26737,80.4376,99.5624,0.00592278,0.0115368
19,0.0164867,0.26596,80.5864,99.4136,0.00593818,0.0114461
20,0.0164377,0.26438,80.7542,99.2458,0.00595558,0.0113448
21,0.0163888,0.26281,80.922,99.078,0.00597303,0.0112444
22,0.0163397,0.26124,81.0909,98.9091,0.00599063,0.0111443
23,0.0147025,0.21151,87.0794,92.9206,0.00664349,0.00813479
24,0.0146478,0.20994,87.2915,92.7085,0.00666771,0.00804506
25,0.0145929,0.20837,87.5053,92.4947,0.0066922,0.00795566
26,0.0145379,0.2068,87.7207,92.2793,0.00671695,0.00786659
27,0.0144826,0.20523,87.9378,92.0622,0.00674198,0.00777787
28,0.0172945,0.29266,77.904,102.096,0.00566537,0.0132033
29,0.017248,0.29109,78.0542,101.946,0.00568039,0.0130977
30,0.0172014,0.28952,78.2053,101.795,0.00569552,0.0129923
31,0.0171547,0.28795,78.3573,101.643,0.00571077,0.0128873
32,0.0171076,0.28637,78.5112,101.489,0.00572625,0.0127818
33,0.0170606,0.2848,78.665,101.335,0.00574175,0.0126773
34,0.0170136,0.28323,78.8198,101.18,0.00575738,0.0125731
35,0.0169663,0.28166,78.9755,101.025,0.00577314,0.0124692
36,0.016919,0.28009,79.1321,100.868,0.00578903,0.0123656
37,0.0168715,0.27852,79.2897,100.71,0.00580504,0.0122622
38,0.0168239,0.27695,79.4483,100.552,0.0058212,0.0121592
39,0.0167761,0.27538,79.6079,100.392,0.00583749,0.0120564
40,0.0167282,0.27381,79.7684,100.232,0.00585391,0.011954
41,0.0166802,0.27224,79.93,100.07,0.00587048,0.0118518
42,0.016632,0.27067,80.0925,99.9075,0.00588719,0.0117499
43,0.0165837,0.2691,80.2561,99.7439,0.00590404,0.0116484
44,0.0165353,0.26753,80.4208,99.5792,0.00592104,0.0115471
45,0.0164867,0.26596,80.5864,99.4136,0.00593818,0.0114461
46,0.0173222,0.2936,77.8145,102.185,0.00565644,0.0132667
47,0.0173685,0.29517,77.6657,102.334,0.00564162,0.0133728
48,0.0173926,0.29599,77.5884,102.412,0.00563392,0.0134283
49,0.0174281,0.2972,77.4747,102.525,0.00562262,0.0135104
50,0.0174515,0.298,77.3997,102.6,0.00561519,0.0135647
51,0.0174749,0.2988,77.3251,102.675,0.00560779,0.0136192
