id,ebeam,ecms,xs,xs_err
0,0.28575,0.0170891,432329.27675471,4266.88716759
1,0.29046,0.0172293,443129.43567661,4373.54868473
2,0.28889,0.0171827,439790.40081037,4340.54202639
3,0.28732,0.017136,435785.92740752,4301.04908906
4,0.29517,0.0173685,455101.54505997,4491.57781877
5,0.2936,0.0173222,450059.01743659,4441.99631114
6,0.29203,0.0172758,446623.26623912,4408.05823196
7,0.28449,0.0170514,429128.02773525,4235.30767771
8,0.28292,0.0170042,425398.92250417,4198.48347673
9,0.28103,0.0169473,419935.92210615,4144.66177676
10,0.27946,0.0168999,416065.19667948,4106.44569994
11,0.27789,0.0168524,412232.18384889,4068.59072653
12,0.27632,0.0168047,408035.71694787,4027.19077392
13,0.27522,0.0167713,405265.96179348,3999.83993881
14,0.27365,0.0167233,398851.91932816,3936.83270391
15,0.27208,0.0166753,395855.12570550,3907.09962375
16,0.27051,0.0166271,392211.57365826,3871.06229231
17,0.26894,0.0165788,386381.86916689,3813.72623141
18,0.26737,0.0165303,382718.19668476,3777.48006848
19,0.26596,0.0164867,378954.57192277,3740.31148542
20,0.26438,0.0164377,375827.34084046,3709.27153118
21,0.26281,0.0163888,370665.30564307,3658.41216183
22,0.26124,0.0163397,366169.53468442,3614.03422759
23,0.21151,0.0147025,167885.27434119,1657.24971333
24,0.20994,0.0146478,159308.89926384,1572.86499393
25,0.20837,0.0145929,150363.02679685,1484.84664284
26,0.2068,0.0145379,140795.38386339,1387.56429913
27,0.20523,0.0144826,131813.59698725,1299.32727600
28,0.29266,0.0172945,447975.16102717,4421.41613578
29,0.29109,0.017248,445062.96819417,4392.57363685
30,0.28952,0.0172014,440770.16032119,4350.28088643
31,0.28795,0.0171547,437403.98459010,4317.00683028
32,0.28637,0.0171076,434053.76973482,4283.87945657
33,0.2848,0.0170606,430014.09507297,4244.03667837
34,0.28323,0.0170136,425867.65547554,4203.14746909
35,0.28166,0.0169663,421831.75390840,4163.33190433
36,0.28009,0.016919,418225.74182820,4127.69516819
37,0.27852,0.0168715,413613.24894937,4082.25156688
38,0.27695,0.0168239,410035.15760213,4046.87643784
39,0.27538,0.0167761,405284.91304755,4000.07952880
40,0.27381,0.0167282,399465.05652864,3942.86018998
41,0.27224,0.0166802,396219.41424197,3910.70399483
42,0.27067,0.016632,392518.04837240,3874.10430005
43,0.2691,0.0165837,386779.37180283,3817.65544396
44,0.26753,0.0165353,382919.17766662,3779.49475798
45,0.26596,0.0164867,378954.57192277,3740.31148542
46,0.2936,0.0173222,450059.01743659,4441.99631114
47,0.29517,0.0173685,455101.54505997,4491.57781877
48,0.29599,0.0173926,456835.39195418,4508.70978459
49,0.2972,0.0174281,459042.61051446,4530.56538909
50,0.298,0.0174515,460258.69157742,4542.64641178
51,0.2988,0.0174749,460975.21002547,4549.85993453
